的	de 	of/structural particle: used before a noun, linking it to preceding possessive or descriptive attributive; really and truly; aim/clear
我	wǒ 	I/me/my
了	le 	(modal particle intensifying preceding clause)/(completed action marker); clear; to know/to understand; to look afar from a high place
你	nǐ 	you (informal, as opposed to polite 您[nin2])
是	shì 	is/are/am/yes/to be
不	bù 	(negative prefix)/not/no
在	zài 	(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress)
一	yī 	one/1/single/a (article)/as soon as/entire/whole/all/throughout
有	yǒu 	to have/there is/there are/to exist/to be
好	hǎo 	good/well/proper/good to/easy to/very/so/(suffix indicating completion or readiness); to be fond of
就	jiù 	at once/right away/only/just (emphasis)/as early as/already/as soon as/right away/then/in that case/as many as/even if/to approach/to move towards/to undertake/to engage in/to suffer/subjected to/to accomplish/to take advantage of/to go with (of foods)/with regard to/concerning
个	gè 	individual/this/that/size/classifier for people or objects in general
要	yào 	demand/ask/request/coerce; important/vital/to want/will/going to (as future auxiliary)/may/must
他	tā 	he/him
我们	wǒmen 	we/us/ourselves/our
人	rén 	man/person/people
这	zhè 	this/these/(commonly pronounced zhei4 before a classifier, esp. in Beijing)
都	dōu 	all/both (if two things are involved)/entirely (due to) each/even/already; capital city/metropolis/surname Du
会	huì 	can/be possible/be able to/will/to assemble/to meet/to gather/to see/union/group/association; to balance an account/accounting
想	xiǎng 	to think/to believe/to suppose/to wish/to want/to miss
吧	ba 	(onomat.)/dumb; (modal particle indicating polite suggestion)/...right?/...OK?
吗	ma 	morphine; (question tag)
说	shuō 	to canvass/to persuade/see 游说[you2 shui4], to canvass and 说客[shui4 ke4], persuasive speaker; to speak/to say/a theory (usually in compounds such as 日心说 heliocentric theory)
很	hěn 	(adverb of degree)/quite/very/awfully
和	huò 	and/together with/with/sum/union/peace/harmony/surname He; cap (a poem)/to respond in singing; to complete a set in mahjong or playing cards; soft/warm; to mix together/to blend
也	yě 	also/too/(in classical Chinese) final particle serving as copula
来	lái 	to come/to arrive/to come round/ever since/next
什么	shénme 	what/what?/who?/something/anything
还	hái 	still/still in progress/still more/yet/even more/in addition/fairly/passably (good)/as early as/even/also/else; to pay back/to return/surname Huan
啊	ā 	interjection of surprise/Ah!/Oh!; interjection expressing doubt or requiring answer/Eh?/what?/to show realization/to stress; interjection of surprise or doubt/Eh?/My!/what's up?; interjection or grunt of agreement/uhm/Ah, OK/expression of recognition/Oh, it's you!; modal particle ending sentence, showing affirmation, approval, or consent
能	néng 	can/may/capable/energy/able/surname Neng
去	qù 	to go/to leave/to remove/fourth tone of putonghua
那	nà 	variant of 哪/how/which; that/those/commonly pr. nei4 before a classifier, esp. in Beijing
她	tā 	she
没	méi 	(negative prefix for verbs)/have not/not; drowned/to end/to die/to inundate
到	dào 	to (a place)/until (a time)/up to/to go/to arrive
知道	zhīdào 	know/be aware of
上	shàng 	on/on top/upon/first (of two parts)/previous or last (week etc)/upper/higher/above/previous/to climb/to go into/above/to go up/to attend (class or university)/third tone of putonghua
着	zhe 	catch/receive/suffer; to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn; particle attached after verb to indicate action in progress, like -ing ending; to wear (clothes)/to contact/to use/to apply
过	guo 	(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/excessively/too-/surname Guo
看	kàn 	to look after/to take care of/to watch/to guard; to see/to look at/to read/to watch/to consider/to regard as/to view as/to treat as/to judge/(after repeated verb) to give it a try/depending on (how you're judging)/to visit/to call on/to treat (an illness)/to look after/Watch out! (for a danger)
给	gěi 	to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle); to supply/provide
对	duì 	couple/pair/to be opposite/to oppose/to face/versus/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right
让	ràng 	to yield/to permit/to let sb do sth/to have sb do sth
把	bǎ 	to hold/to contain/to grasp/to take hold of/a handle/particle marking the following noun as a direct object/classifier for objects with handle; handle
得	dé 	to obtain/to get/to gain/to catch (a disease)/proper/suitable/proud/contented/to allow/to permit/ready/finished; structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; to have to/must/ought to/to need to
做	zuò 	to do/to make/to produce/to write/to compose/to act as/to engage in/to hold (a party)/to be/to become/to function (in some capacity)/to serve as/to be used for/to form (a bond or relationship)/to pretend/to feign/to act a part/to put on appearance
没有	méiyǒu 	haven't/hasn't/doesn't exist/to not have/to not be
自己	zìjǐ 	self/(reflexive pronoun)/own
天	tiān 	day/sky/heaven
真	zhēn 	really/truly/indeed/real/true/genuine
多	duō 	many/much/a lot of/numerous/multi-
年	nián 	year
他们	tāmen 	they
你们	nǐmen 	you (plural)
最	zuì 	most/the most/-est
大	dà 	big/huge/large/major/great/wide/deep/oldest/eldest; doctor
这个	zhège 	this/this one
可以	kěyǐ 	can/may/possible/able to
只	zhǐ 	classifier for birds and certain animals, one of a pair, some utensils, vessels etc; but/only; only/merely/just/but
太	tài 	highest/greatest/too (much)/very/extremely
现在	xiànzài 	now/at present/modern/current/nowadays
事	shì 	matter/thing/item/work/affair
又	yòu 	(once) again/also/both... and.../again
呢	ne 	(question particle for subjects already mentioned); woolen material
怎么	zěnme 	how?/what?/why?
爱	ài 	to love/affection/to be fond of/to like
里	lǐ 	Chinese mile (approx. 0.5 km)/neighborhood/hometown/surname Li; inside/internal/interior/lining/village/basic unit of city administration; inside/internal/interior/lining/village/basic unit of city administration
被	bèi 	by (indicates passive-voice sentences or clauses)/to cover/to wear
小	xiǎo 	small/tiny/few/young
中	zhòng 	within/among/in/middle/center/while (doing sth)/during/China/Chinese; hit (the mark)
点	diǎn 	point/dot/speck/drop/decimal point/point of a scale/point in a theory or argument/downwards-right convex character stroke/a little (usually 一点)/a jot/beat (of percussion instrument)/to draw a dot/to touch slightly/to drip/classifier for items/classifier for small indeterminate quantities/to nod/to select item from a list/to order (food in a restaurant)/to count/o'clock/one fifth of a two hour watch (old)/hour/point of time/iron bell (used to mark time)/pastry/dimsum 炥心|点心
再	zài 	again/once more/re-/second/another/then (after sth, and not until then)
哦	ò 	to chant; oh is that so
为	wèi 	as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do; because of/for/to
次	cì 	next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chem., meaning extra oxygen atom)/classifier for enumerated events: time
下	xià 	down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down
三	sān 	three/3
一下	yīxià 	(used after a verb) give it a go/to do (sth for a bit to give it a try)/one time/once/in a while/all of a sudden/all at once
如果	rúguǒ 	if/in case/in the event that
今天	jīntiān 	today/at the present/now
吃	chī 	to eat/to have one's meal/to eradicate/to destroy/to absorb/to suffer/to exhaust; stammer
但	dàn 	but/yet/however/only/merely/still
跟	gēn 	heel/to follow closely/to go with/to marry sb (of woman)/with/towards/as (compared to)/from (different from)/and (in addition to)
用	yòng 	to use
谁	shéi 	who/also pronounced shui2; variant pronunciation of shei2, who/surname Shui
时候	shíhou 	time/length of time/moment/period
这样	zhèyàng 	this (kind of, sort of)/this way/such/like this/such
才	cái 	ability/talent/endowment/gift/an expert/only (then)/only if/just; just/not until
因为	yīnwèi 	because/owing to/on account of
喜欢	xǐhuan 	to like/to be fond of
比	bǐ 	(particle used for comparison and -er than)/to compare/to contrast/to gesture (with hands)/ratio/abbr. for Belgium 比利fB|比利时; associate with/be near
两	liǎng 	both/two/ounce/some/a few/tael
走	zǒu 	to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走)/to change (shape, form, meaning)
可	kě 	can/may/able to/to approve/to permit/certain(ly)/to suit/(particle used for emphasis)
一起	yīqǐ 	together
而	ér 	and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast)
别	biè 	leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin; see 别扭, contrary/difficult/awkward
家	jiā 	furniture/tool; home/family/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian/surname Jia
快	kuài 	rapid/quick/speed/rate/soon/shortly/quick-witted/clever/sharp (of knives or wits)/forthright/plain-spoken/gratified/pleased/pleasant/police runner (in former times, official to arrest criminals)
已经	yǐjīng 	already
这么	zhème 	so much/this much/how much?/this way/like this
等	děng 	class/rank/grade/equal to/same as/to wait for/to await/et cetera/and so on/et al. (and other authors)/after/as soon as/once
这里	zhèlǐ 	here
觉得	juéde 	to think/to feel
啦	lā 	(onomat.)/(phonetic); (an auxiliary word performing the grammatical functions of mood)/fusion of le + a/follows after 比如 listed examples
从	zòng 	lax/yielding/unhurried; from/via/passing through/through (a gap)/past/ever (followed by negative, meaning never)/(formerly pr. zong4 and related to ~1|纵) to follow/to comply with/to obey/to join/to engage in/adopting some mode of action or attitude/follower/retainer/accessory/accomplice/related by common paternal grandfather or earlier ancestor/surname Cong; second cousin
更	gèng 	to change; more/even more/further/still/still more
种	zhòng 	abbr. for 物种, genus/race/seed/breed/species/strain/kind/type/has guts (i.e. courage)/nerve/classifier for types: kind, sort/classifier for languages; to plant/to grow/to cultivate
大家	dàjiā 	authority/everyone
听	tīng 	to listen/to hear/to obey/a can (loan from English tin)/classifier for canned beverages; to let/to allow
开始	kāishǐ 	to begin/beginning/to start/initial
每	měi 	each/every
像	xiàng 	(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem
那么	nàme 	like that/in that way/or so/so/so very much/about/in that case
新	xīn 	new/newly/abbr. for Xinjiang 新疆/meso- (chem.)
朋友	péngyou 	friend
但是	dànshì 	but/however
告诉	gàosu 	to tell/to inform/to let know
它	tā 	it (used for things)
死	sǐ 	to die/impassable/uncrossable/inflexible/rigid/extremely
为什么	wèishénme 	why?/for what reason?
找	zhǎo 	to try to find/to look for/to call on sb/to find/to seek/to return/to look for/to give change
将	jiāng 	(will, shall, future tense)/ready/prepared/to get/to use; a general
需要	xūyào 	to need/to want/to demand/needs/to require
谢谢	xièxie 	to thank/thanks
快乐	kuàilè 	happy/merry
起来	qǐlai 	beginning or continuing an action/upward movement/stand up
出	chū 	to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/classifier for dramas, plays, operas etc
时间	shíjiān 	time/period
睡	shuì 	to sleep
东西	dōngxi 	east and west; thing/stuff/person
后	hòu 	back/behind/rear/afterwards/after/later; empress/queen/surname Hou
